year,month,total_revenue,total_orders,avg_order_value
2016,9,134.97,3,44.99
2016,10,40325.11,313,128.83
2016,12,10.9,1,10.9
2017,1,111798.36,913,122.45
2017,2,234223.4,1858,126.06
2017,3,359198.85,2897,123.99
2017,4,340669.68,2569,132.61
2017,5,489338.25,4004,122.21
2017,6,421923.37,3489,120.93
2017,7,481604.52,4416,109.06
2017,8,554699.7,4797,115.63
2017,9,607399.67,4737,128.22
2017,10,648247.65,5214,124.33
2017,11,987765.37,8475,116.55
2017,12,726033.19,6187,117.35
2018,1,924645.0,8037,115.05
2018,2,826437.13,7518,109.93
2018,3,953356.25,8017,118.92
2018,4,973534.09,7827,124.38
2018,5,977544.69,7810,125.17
2018,6,856077.86,7010,122.12
2018,7,867953.46,6963,124.65
2018,8,838576.64,7142,117.41
