category,order_volume,total_revenue,avg_price,revenue_rank,volume_rank,category_type
bed_bath_table,10953,1023434.76,93.44,3,1,Star
health_beauty,9465,1233131.72,130.28,1,2,Star
sports_leisure,8431,954852.55,113.25,4,3,Star
furniture_decor,8160,711927.69,87.25,6,4,Star
computers_accessories,7644,888724.61,116.26,5,5,Star
housewares,6795,615628.69,90.6,7,6,Star
watches_gifts,5859,1166176.98,199.04,2,7,Star
telephony,4430,309860.23,69.95,14,8,Volume
garden_tools,4268,470495.28,110.24,11,9,Volume
auto,4140,578966.65,139.85,9,10,Star
toys,4030,471286.48,116.94,10,11,Premium
cool_stuff,3718,610204.1,164.12,8,12,Premium
perfumery,3340,390144.65,116.81,13,13,Long Tail
baby,2982,400421.84,134.28,12,14,Long Tail
electronics,2729,155043.93,56.81,22,15,Long Tail
stationery,2466,223788.69,90.75,16,16,Long Tail
fashion_bags_accessories,1985,149329.39,75.23,23,17,Long Tail
pet_shop,1924,211695.64,110.03,18,18,Long Tail
office_furniture,1668,268154.31,160.76,15,19,Long Tail
unknown,1559,175967.21,112.87,21,20,Long Tail
consoles_games,1089,148003.37,135.91,24,21,Long Tail
luggage_accessories,1077,138701.63,128.79,26,22,Long Tail
construction_tools_construction,916,142108.49,155.14,25,23,Long Tail
home_appliances,754,78832.48,104.55,29,24,Long Tail
small_appliances,658,182754.12,277.74,20,25,Long Tail
musical_instruments,651,184315.74,283.13,19,26,Long Tail
home_construction,596,81407.57,136.59,28,27,Long Tail
books_general_interest,537,45302.15,84.36,38,28,Long Tail
food,499,28731.15,57.58,42,29,Long Tail
furniture_living_room,495,67350.7,136.06,31,30,Long Tail
home_confort,429,58008.45,135.22,32,31,Long Tail
audio,362,50570.6,139.7,35,32,Long Tail
drinks,361,21529.84,59.64,47,33,Long Tail
market_place,305,27795.77,91.13,43,34,Long Tail
construction_tools_lights,301,39957.0,132.75,39,35,Long Tail
air_conditioning,289,53323.56,184.51,34,36,Long Tail
kitchen_dining_laundry_garden_furniture,274,45531.98,166.18,37,37,Long Tail
food_drink,269,14942.88,55.55,52,38,Long Tail
industry_commerce_and_business,265,38498.81,145.28,41,39,Long Tail
books_technical,263,18702.23,71.11,50,40,Long Tail
fashion_shoes,257,23001.46,89.5,46,41,Long Tail
fixed_telephony,255,55315.21,216.92,33,42,Long Tail
costruction_tools_garden,232,25096.28,108.17,44,43,Long Tail
home_appliances_2,231,107953.95,467.33,27,44,Long Tail
agro_industry_and_commerce,206,70566.1,342.55,30,45,Long Tail
computers,199,218684.14,1098.92,17,46,Long Tail
art,197,23657.3,120.09,45,47,Long Tail
signaling_and_security,197,21315.05,108.2,48,47,Long Tail
construction_tools_safety,183,38773.22,211.88,40,48,Long Tail
christmas_supplies,150,8737.84,58.25,55,49,Long Tail
fashion_underwear_beach,127,9305.95,73.28,54,50,Long Tail
fashion_male_clothing,125,10452.33,83.62,53,51,Long Tail
furniture_bedroom,103,19051.8,184.97,49,52,Long Tail
costruction_tools_tools,103,15903.95,154.41,51,52,Long Tail
tablets_printing_image,83,7528.41,90.7,56,53,Long Tail
small_appliances_home_oven_and_coffee,73,46589.56,638.21,36,54,Long Tail
cine_photo,70,6674.47,95.35,57,55,Long Tail
dvds_blu_ray,61,4542.59,74.47,59,56,Long Tail
books_imported,57,4418.86,77.52,61,57,Long Tail
fashio_female_clothing,45,2634.94,58.55,63,58,Long Tail
party_supplies,42,4465.19,106.31,60,59,Long Tail
music,38,6034.35,158.8,58,60,Long Tail
furniture_mattress_and_upholstery,37,4323.38,116.85,62,61,Long Tail
diapers_and_hygiene,37,1500.79,40.56,67,61,Long Tail
flowers,33,1110.04,33.64,68,62,Long Tail
home_comfort_2,30,760.27,25.34,69,63,Long Tail
fashion_sport,29,2094.52,72.22,64,64,Long Tail
arts_and_craftmanship,24,1814.01,75.58,66,65,Long Tail
la_cuisine,14,2054.99,146.79,65,66,Long Tail
cds_dvds_musicals,14,730.0,52.14,70,66,Long Tail
fashion_childrens_clothes,7,519.95,74.28,71,67,Long Tail
security_and_services,2,283.29,141.64,72,68,Long Tail
