year,month,total_revenue,total_orders,avg_order_value,prev_month_revenue,mom_growth_pct,prev_month_orders,mom_orders_growth_pct
2016,9,134.97,3,44.99,,,,
2016,10,40325.11,313,128.83,134.97,29777.09,3.0,10333.33
2016,12,10.9,1,10.9,40325.11,-99.97,313.0,-99.68
2017,1,111798.36,913,122.45,10.9,1025573.03,1.0,91200.0
2017,2,234223.4,1858,126.06,111798.36,109.51,913.0,103.5
2017,3,359198.85,2897,123.99,234223.4,53.36,1858.0,55.92
2017,4,340669.68,2569,132.61,359198.85,-5.16,2897.0,-11.32
2017,5,489338.25,4004,122.21,340669.68,43.64,2569.0,55.86
2017,6,421923.37,3489,120.93,489338.25,-13.78,4004.0,-12.86
2017,7,481604.52,4416,109.06,421923.37,14.15,3489.0,26.57
2017,8,554699.7,4797,115.63,481604.52,15.18,4416.0,8.63
2017,9,607399.67,4737,128.22,554699.7,9.5,4797.0,-1.25
2017,10,648247.65,5214,124.33,607399.67,6.73,4737.0,10.07
2017,11,987765.37,8475,116.55,648247.65,52.37,5214.0,62.54
2017,12,726033.19,6187,117.35,987765.37,-26.5,8475.0,-27.0
2018,1,924645.0,8037,115.05,726033.19,27.36,6187.0,29.9
2018,2,826437.13,7518,109.93,924645.0,-10.62,8037.0,-6.46
2018,3,953356.25,8017,118.92,826437.13,15.36,7518.0,6.64
2018,4,973534.09,7827,124.38,953356.25,2.12,8017.0,-2.37
2018,5,977544.69,7810,125.17,973534.09,0.41,7827.0,-0.22
2018,6,856077.86,7010,122.12,977544.69,-12.43,7810.0,-10.24
2018,7,867953.46,6963,124.65,856077.86,1.39,7010.0,-0.67
2018,8,838576.64,7142,117.41,867953.46,-3.38,6963.0,2.57
