seller_id,seller_state,seller_city,total_revenue,orders_fulfilled,avg_order_value,avg_rating,positive_reviews,performance_score,seller_tier
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,sao bernardo do campo,68455.0,231,296.34,4.23,190,59.69,Intermediate
2d2c62bef4c8ba0dd74e0e228e808539,SP,ribeirao preto,3749.0,16,234.31,4.13,12,26.76,Beginner
537eb890efff034a88679788b647c564,RJ,rio de janeiro,4647.8,172,27.02,4.18,136,32.1,Beginner
897060da8b9a21f655304d50fd935913,SP,ribeirao preto,22339.36,417,53.57,3.47,252,42.27,Intermediate
f41ce2e25237f9092cd8e6e7516c7a2f,SP,guarulhos,1961.9,27,72.66,4.44,22,28.23,Beginner
83645b1645cdee8953ee54c29ceed564,PR,santa terezinha de itaipu,978.9,14,69.92,4.43,11,27.39,Beginner
66922902710d126a0e7d26b0e3805106,MG,belo horizonte,14267.3,155,92.05,4.47,137,37.18,Beginner
f27e33c6d29b5138fa9967bcd445b6d5,SP,sao paulo,8888.3,98,90.7,4.09,77,31.04,Beginner
6a8b085f816a1f75f92dbac6eb545f8f,SP,bebedouro,5945.67,134,44.37,4.16,106,31.36,Beginner
2ee0a0689f2f6a72f35a7cb6033f6e7e,SP,presidente prudente,272.0,4,68.0,4.0,3,24.23,Beginner
5dceca129747e92ff8ef7a997dc4f8ca,SP,santa barbara d´oeste,111126.73,343,323.98,4.02,255,78.86,Advanced
eddd1991bd6d9309995a480c39b95137,PR,ponta grossa,601.0,2,300.5,3.5,1,21.3,Beginner
cd6efc47efaabf134f8bdb654e10b4f1,RJ,rio de janeiro,4158.55,32,129.95,4.5,29,29.62,Beginner
822166ed1e47908f7cfb49946d03c726,RJ,tres rios,3752.31,110,34.11,3.94,76,28.44,Beginner
7b1222c3624aa89b9558b50a2594188c,SP,sao jose do rio preto,10103.52,22,459.25,4.45,19,31.4,Beginner
8759e7aedd644f487315e5860962f162,SP,santo andre,627.0,3,209.0,3.67,2,22.36,Beginner
432c37c9dfba871172ec162e20118b8c,DF,brasilia,2679.87,55,48.72,4.29,47,28.46,Beginner
8b2492b7ff4468839593fafeed55bad9,RJ,sao goncalo,3660.08,45,81.34,3.89,29,26.15,Beginner
191d55f7edb8524d525ed01b20fe32e8,DF,brasilia,747.0,3,249.0,2.33,1,14.37,Beginner
4ebdc7e6cd6102a022dadc49156d4ea8,SP,sao paulo,951.6,33,28.84,3.79,24,24.11,Beginner
643214e62b870443ccbe55ab29a4dccf,SP,sao paulo,3229.23,66,48.93,4.41,59,29.73,Beginner
67225bff54a172ff67579aaf583efd78,PA,marechal candido rondon,1238.0,8,154.75,4.5,6,27.74,Beginner
5075aaa8404020ae6aa8bf4792099b41,MG,pocos de caldas,1572.88,15,104.86,4.13,13,25.86,Beginner
503c1de08ae81a2d86f17951b204db55,SP,sao paulo,4906.99,22,223.05,4.41,18,29.08,Beginner
725af026f869236a8dd0ceb98564d156,MG,claudio,810.72,5,162.14,4.4,4,26.87,Beginner
a67780aba9dd436e7ac0aa1f889e73ec,SP,presidente prudente,863.0,6,143.83,3.67,4,22.55,Beginner
7a2d2949aea47fab95fd98d6c9f618b1,PR,curitiba,1638.99,12,136.58,4.25,11,26.52,Beginner
ffeee66ac5d5a62fe688b9d26f83f534,SP,mirassol,1839.86,14,131.42,4.21,12,26.42,Beginner
23ff42c4bf1f8f16cddb19d8b972974a,MG,itau de minas,174.7,3,58.23,4.33,2,26.14,Beginner
2c3d56f92f360fb89d849b84e8f50eae,SP,barueri,425.1,7,60.73,3.43,4,20.96,Beginner
3c03b12bab54d8b37d79d914bfdb1aa0,RJ,sao joao de meriti,4236.34,43,98.52,3.88,31,26.26,Beginner
3c4e0452bff7a2a788179488d3d77032,PR,colombo,3746.4,36,104.07,3.74,24,25.02,Beginner
3092c0b297aacfb4bb6e056ebe13b9b8,SP,aruja,1184.3,17,69.66,4.18,11,26.06,Beginner
c7fdb77fdbff3c41981bc52f787e959e,SP,santo andre,658.48,11,59.86,3.55,6,21.89,Beginner
4e326052e5dbba8adcd512f3450a307e,SP,sao paulo,570.0,6,95.0,1.67,1,10.43,Beginner
a5a1bfcf728ab0e19182959cf0771ee4,SP,socorro,1812.96,24,75.54,4.29,19,27.19,Beginner
46ef1a25845fc051c2998d878354810c,MG,claudio,250.41,5,50.08,4.4,5,26.65,Beginner
7ecef8194babfec876ca720714327841,SP,campinas,990.5,8,123.81,4.25,8,26.14,Beginner
f524ad65d7e0f1daab730ef2d2e86196,RS,soledade,578.0,2,289.0,1.0,0,6.29,Beginner
bb5bd94c8f59cc050072d2930c869cac,SP,sao paulo,2593.86,18,144.1,4.22,14,26.9,Beginner
747e73c01a4593d4cf60dcf970fd2689,PE,vitoria de santo antao,2217.99,3,739.33,4.33,3,26.96,Beginner
723cd880edaacdb998898b67c8f9da30,SP,ibitinga,2136.53,12,178.04,4.17,10,26.23,Beginner
7681ef142fd2c19048da7430856b5588,SP,guarulhos,31287.81,77,406.34,4.17,62,39.85,Beginner
ffc470761de7d0232558ba5e786e57b7,SP,guarulhos,1529.13,30,50.97,4.3,23,27.31,Beginner
13d95f0f6f73943d4ceffad0fc2cd32c,GO,goiania,249.99,1,249.99,3.0,0,18.13,Beginner
4eb61f060e7dcc1d5a80d806c35cc541,SP,sao paulo,1313.0,8,164.13,3.88,7,24.05,Beginner
d6b1ce66b035a475f00c017792ff9769,SP,salto,12277.4,108,113.68,4.17,80,33.17,Beginner
e59aa562b9f8076dd550fcddf0e73491,PR,curitiba,30716.3,82,374.59,4.33,73,40.73,Intermediate
1f50f920176fa81dab994f9023523100,SP,sao jose do rio preto,107147.91,1935,55.37,3.99,1434,124.85,Elite
762ed976527cddf02787edba70fffa2a,PR,londrina,179.8,4,44.95,2.25,1,13.69,Beginner
a5dd1946fb63ada8bcaa0c9cd8f11e22,PE,caruaru,219.62,7,31.37,3.86,5,23.46,Beginner
4c2b230173bb36f9b240f2b8ac11786e,SP,sao paulo,14520.47,344,42.21,3.76,238,38.69,Beginner
b499c00f28f4b7069ff6550af8c1348a,SP,limeira,10192.17,183,55.69,4.23,144,34.95,Beginner
a9b533a26e898b12e8b8d4c07279bf4d,RJ,rio de janeiro,119.6,4,29.9,5.0,4,30.17,Beginner
17306570e772e7718c92a562d33f5f1d,SP,bariri,8640.0,30,288.0,3.77,19,26.98,Beginner
94144541854e298c2d976cb893b81343,RS,viamao,17315.18,77,224.87,4.29,62,34.98,Beginner
30c7f28fd3a5897b2c82d152bb760c17,RJ,niteroi,1849.38,6,308.23,1.4,0,9.32,Beginner
febab0275244b9a49a623f0bd613ca2f,SP,pedreira,7094.82,126,56.31,4.32,106,32.54,Beginner
ef0ace09169ac090589d85746e3e036f,RJ,sao goncalo,16225.3,140,115.89,4.36,117,36.85,Beginner
c826c40d7b19f62a09e2d7c5e7295ee2,SP,guarulhos,44653.04,365,122.34,4.09,292,53.35,Intermediate
1987cd4be10fe09ee50454f9c354d1c6,MG,ouro fino,2877.7,16,179.86,4.25,12,27.13,Beginner
870d0118f7a9d85960f29ad89d5d989a,MG,pocos de caldas,3248.9,64,50.76,4.06,46,27.58,Beginner
e38db885400cd35c71dfd162f2c1dbcf,DF,brasilia,2066.8,32,64.59,4.5,28,28.79,Beginner
2ff6b7bff164ef05590a52734e1296da,PR,londrina,1803.59,7,257.66,4.71,7,29.19,Beginner
e7d5b006eb624f13074497221eb37807,SP,santo andre,3478.93,63,55.22,3.11,27,21.94,Beginner
f5f46307a4d15880ca14fab4ad9dfc9b,SC,rio do sul,1422.94,10,142.29,4.0,7,24.87,Beginner
11305281b50fff20ae8bb473f8e11876,MG,uba,6528.7,40,163.22,4.35,34,29.91,Beginner
3bb548e3cb7f70f28e3f11ee9dce0e59,PR,maringa,7690.02,53,145.09,3.98,40,28.55,Beginner
0ade5cc4a305ed7093a23f68ca47519c,PR,curitiba,158.88,2,79.44,5.0,2,30.12,Beginner
edf96ef93ed595084bbcbd9224bd2894,SP,sao paulo,3757.0,28,134.18,3.79,19,25.08,Beginner
c31eff8334d6b3047ed34bebd4d62c36,SP,salto,12991.61,121,107.37,3.88,84,32.11,Beginner
a13580f0e8f782b7a543885a0ef99f08,RJ,rio de janeiro,1304.9,10,130.49,4.4,9,27.22,Beginner
0d4c8269e7f0401201794deef160edd6,SP,ribeirao preto,792.64,4,198.16,4.0,3,24.44,Beginner
3fd1e727ba94cfe122d165e176ce7967,SP,araraquara,2747.4,36,76.32,3.97,26,26.0,Beginner
d6cd01c59123df02fc226eadbadb5f89,SP,sao paulo,69.9,1,69.9,5.0,1,30.06,Beginner
20a7efa9721046319bdde5d60b6b5365,SP,laguna,501.2,6,83.53,5.0,6,30.38,Beginner
8603f0038fe0e52fedd3382d266723de,SC,garopaba,2355.0,10,235.5,4.4,9,27.64,Beginner
73a63f72308aa20a46f4b1632018f196,PR,curitiba,7640.8,35,218.31,4.32,28,30.03,Beginner
3f9c56764fabca627406093dcb3ef0b4,RJ,rio de janeiro,909.3,7,129.9,4.71,7,28.83,Beginner
1d503743d2526f03f0c2c89540ee008c,SP,sao paulo,516.04,17,30.36,4.24,14,26.16,Beginner
ca77545ca4d2dfd1431bf61334e2fa3c,PR,maringa,760.0,10,76.0,4.8,10,29.4,Beginner
08d0949a9a17c027262db1f3c450c26c,PR,cascavel,354.7,13,27.28,3.54,7,21.77,Beginner
4de6e4ba574aa9dfdc824bc44dc47fdd,PR,colombo,451.1,14,32.22,4.07,11,25.02,Beginner
718539d38d07dd351c76db862760e2e2,SP,campinas,1273.01,43,29.6,4.49,37,28.74,Beginner
eba88037e1dca898cd02881f67ced679,SP,sao paulo,838.1,6,139.68,4.33,5,26.5,Beginner
17908cf9b444ee34047cadd5c0f4a516,GO,anapolis,1993.99,11,181.27,4.55,10,28.43,Beginner
c60b801f2d52c7f7f91de00870882a75,SP,guarulhos,11296.5,39,289.65,3.44,23,26.33,Beginner
4bfc7a4a1cf8d4d2121c27422d9e50b5,SP,sao paulo,8124.4,40,203.11,4.23,29,29.83,Beginner
6b89abe95848c850399130d149a39b63,GO,piracanjuba,1135.2,8,141.9,4.38,7,26.97,Beginner
14f2b3587172b9db894c9bad8dab520b,RS,ipe,244.0,2,122.0,2.5,1,15.16,Beginner
8160255418d5aaa7dbdc9f4c64ebda44,SP,ibitinga,46648.09,427,109.25,3.86,307,54.63,Intermediate
7722b1df1b0e383e000397b2c11e3e19,SP,sao bernardo do campo,7046.6,144,48.93,4.22,115,32.46,Beginner
54a1852d1b8f10312c55e906355666ee,SP,santa barbara d'oeste,17116.45,203,84.32,4.37,173,39.16,Beginner
4869f7a5dfa277a7dca6462dcf3b52b2,SP,guariba,226987.93,1148,197.72,4.14,890,150.08,Elite
fe26f3ecb51a15e6d8335cd92da42562,SP,sao paulo,2708.96,7,386.99,4.43,6,27.87,Beginner
76d64c4aca3a7baf218bf93ef7fa768d,PR,curitiba,17181.7,70,245.45,4.13,54,33.75,Beginner
827f8f69dfa529c561901c4f2e0f332f,PR,curitiba,3438.29,105,32.75,4.25,81,30.03,Beginner
dbb9b48c841a0e39e21f98e1a6b2ec3e,SP,sao paulo,7186.85,118,60.91,4.2,94,31.61,Beginner
7f2617c58d5d06806987308b45654351,SP,sao paulo,3656.8,23,158.99,3.87,16,25.37,Beginner
5cf13accae3222c70a9cac40818ae839,MG,patos de minas,14293.3,155,92.21,4.46,135,37.13,Beginner
86ccac0b835037332a596a33b6949ee1,SC,blumenau,15949.11,210,75.95,4.03,161,36.86,Beginner
06bb3a2fe5e7b7a845b13e8fb91bd944,MG,belo horizonte,1536.19,18,85.34,4.61,17,28.81,Beginner
9d39404483343dd55c7ae254494d8388,SP,sao paulo,293.2,10,29.32,3.5,6,21.42,Beginner
f61c63d13f7cd800549d5acdd390ae72,SP,pilar do sul,3072.3,26,118.17,4.0,21,26.01,Beginner
3a734b715d333a2588a3d54a0c9b8746,SP,osasco,2121.52,21,101.02,4.67,19,29.5,Beginner
f435898e493ba0356019a0b1cb8b55b1,PR,curitiba,649.76,12,54.15,4.33,9,26.6,Beginner
d58d521f3789def2e7a22715e0badd93,SP,sao paulo,65.98,2,32.99,3.5,1,21.09,Beginner
50c9975695009e5e6473912e83a6d1da,MG,claudio,3964.4,68,58.3,3.99,49,27.57,Beginner
59cd88080b93f3c18508673122d26169,SP,praia grande,392.33,12,32.69,4.75,11,29.02,Beginner
b8bc237ba3788b23da09c0f1f3a3288c,SC,itajai,13685.71,47,291.19,4.35,40,32.98,Beginner
c64a2aec32cc408a8a4c6d7c46017f91,RS,imbe,3221.5,9,357.94,3.89,7,24.9,Beginner
8a32e327fe2c1b3511609d81aaf9f042,SP,sao paulo,6139.1,171,35.9,3.95,117,31.29,Beginner
013900e863eace745d3ec7614cab5b1a,PR,curitiba,1619.7,26,62.3,4.73,24,29.81,Beginner
ad420dd0c4f92f8af951ac24b86d0cf5,MG,fronteira,4705.29,46,102.29,4.16,33,28.22,Beginner
6338ea67c41078a46ad99cc009654956,RS,farroupilha,2286.09,44,51.96,4.61,39,29.89,Beginner
3504c0cb71d7fa48d967e0e4c94d59d9,SP,maua,2349.94,53,44.34,4.42,46,29.05,Beginner
74a9b9bddf14ece02beb81f52c41a88d,SP,sao paulo,95.0,2,47.5,3.5,1,21.1,Beginner
ed4acab38528488b65a9a9c603ff024a,SP,sao paulo,12759.45,40,318.99,3.73,26,28.68,Beginner
160e4f13fd3a64b1b86807be88b5ffb0,PR,colombo,886.0,4,221.5,4.25,3,25.97,Beginner
6fc26fe110feebd80a433e1f012a84f9,SP,fernandopolis,4150.87,72,57.65,4.01,57,27.88,Beginner
92eb0f42c21942b6552362b9b114707d,SP,sao paulo,6416.41,358,17.92,3.96,261,37.07,Beginner
6f1a1263039c76e68f40a8e536b1da6a,SP,sao paulop,178.69,5,35.74,2.6,0,15.82,Beginner
77e4abfd739aed9c46480f90f81c0eb4,DF,brasilia,3736.99,18,207.61,4.78,17,30.71,Beginner
1588ac4010787100dddef64568f0ae35,PR,maringa,599.97,3,199.99,3.0,1,18.33,Beginner
05feb94f19d094d4b0f9281f0b1d4c99,SP,mogi das cruzes,9353.0,6,1558.83,4.5,6,30.92,Beginner
6b333a05bf188ef3e1f1662a86bd9855,DF,brasilia,3990.91,13,306.99,4.38,11,28.27,Beginner
73da1880b39c71de2b262bc7720c1494,SP,sao carlos,398.0,2,199.0,5.0,2,30.22,Beginner
7a704e63bb29c446869efde5d57524c8,PR,francisco beltrao,94.49,1,94.49,5.0,1,30.07,Beginner
a72c2f59332659e361d647515c698798,RS,flores da cunha,802.9,6,133.82,4.83,6,29.48,Beginner
c013e57c075a06e5b5c48ee03c525719,SP,sao carlos,1971.55,45,43.81,4.16,32,27.1,Beginner
35857757f553273b1056c1cabdace7fb,SP,ribeirao preto,454.6,6,75.77,4.0,5,24.36,Beginner
c84592044b180dec206770c38603814b,SP,sao paulo,491.94,14,35.14,4.43,12,27.2,Beginner
cfe94489ddd337d1e29e12f2a7205d10,SP,sao paulo,2376.0,24,99.0,4.13,20,26.45,Beginner
15cd6eefe58588619aaed41dfa6621b1,MG,ouro preto,1622.74,18,90.15,4.33,15,27.17,Beginner
ffa6adafb71b807dc13159e26431354c,PR,londrina,2500.9,17,147.11,3.94,12,25.15,Beginner
03a2a6dcbe45d639c4dc2a0d24769c40,SP,maua,1078.41,9,119.82,4.11,7,25.36,Beginner
c3acdfac4e3e97ff87529454fbc03642,SP,sao paulo,16788.0,12,1399.0,4.25,9,32.58,Beginner
446cc09cdbb130904da114e807dbec40,SP,sao paulo,252.8,3,84.27,4.67,3,28.21,Beginner
a06c8ff043abea0528ee44171e2140a2,MG,divinopolis,514.5,8,64.31,4.75,8,28.95,Beginner
39d61be7a92eb77b7da367bd4845bc0e,SP,sao paulo,700.59,14,50.04,4.21,11,25.96,Beginner
ef506c96320abeedfb894c34db06f478,SP,sao paulo,9596.49,333,28.82,3.93,232,37.41,Beginner
270297ead4c65a6cd2593960d2af6b21,SP,sao paulo,9344.4,19,491.81,3.74,13,26.75,Beginner
3d871de0142ce09b7081e2b9d1733cb1,SP,campo limpo paulista,93456.4,1132,82.56,4.15,881,96.24,Elite
cc419e0650a3c5ba77189a1882b7556a,SP,santo andre,103152.56,1759,58.64,4.15,1363,118.93,Elite
fa40cc5b934574b62717c68f3d678b6d,SP,sao paulo,15945.38,338,47.18,4.44,286,43.16,Intermediate
cce6ab8d1682639fe45ab70234f1665f,SP,curitiba,2442.7,64,38.17,4.53,57,30.08,Beginner
002100f778ceb8431b7a1020ff7ab48f,SP,franca,1236.5,55,22.48,4.04,39,26.38,Beginner
13074f016982ff2bd6c58ced8682f000,RS,bento goncalves,1977.0,14,141.21,4.14,12,26.05,Beginner
a2e874074c877c5a05abae80ad6e488f,SP,sao jose do rio preto,7355.0,42,175.12,4.19,34,29.34,Beginner
5b664594895aefb418afaee6d40a9a23,RJ,petropolis,1008.8,22,45.85,3.64,16,22.9,Beginner
