seller_id,seller_state,seller_city,revenue,orders_fulfilled,rank_in_state
327b89b872c14d1c0be7235ef4871685,AM,manaus,1177.0,3,1
53243585a1d6dc2643021fd1853d8905,BA,lauro de freitas,217940.44,400,1
c72de06d72748d1a0dfb2125be43ba63,BA,guanambi,17522.0,22,2
75d34ebb1bd0bd7dde40dd507b8169c3,BA,salvador,12656.33,67,3
bbf9ad41dca6603e614efcdad7aab8c4,CE,fortaleza,7846.0,14,1
dbdd0ec73a4817971d962698f2fea022,CE,fortaleza,6384.0,16,2
8d79c8a04e42d722a75097ce5cbcf2ef,CE,caucaia,2627.82,27,3
44073f8b7e41514de3b7815dd0237f4f,DF,brasilia,18380.64,151,1
f3b80352b986ab4d1057a4b724be19d0,DF,brasilia,9815.1,91,2
3c487ae8f8d7542beff5788e2e0aea83,DF,gama,9385.7,33,3
001cca7ae9ae17fb1caed9dfb1094831,ES,cariacica,24487.03,234,1
33dd941c27854f7625b968cc6195a552,ES,vila velha,6787.5,5,2
15aac934c58d886785ac1b17953ea898,ES,muqui,4353.9,26,3
9d5a9018aee56acb367ba9c3f05d1d6a,GO,aparecida de goiania,10119.98,78,1
750303a20e9c56b2a6bc45cdce0b897d,GO,goiania,7876.0,56,2
b410bdd36d5db7a65dcd42b7ead933b8,GO,goiania,7368.9,42,3
06a2c3af7b3aee5d69171b0e14f0ee87,MA,sao luis,36097.98,402,1
a1043bafd471dff536d0c462352beb48,MG,ilicinea,99309.23,752,1
25c5c91f63607446a97b143d2d535d31,MG,itauna,54208.78,266,2
7299e27ed73d2ad986de7f7c77d919fa,MG,araguari,34107.44,358,3
b1fecf4da1fa2689bccffa0121953643,MS,campo grande,3669.64,20,1
9c068d10aca38e85c50202e17b4a7e88,MS,coxim,2658.9,17,2
7df1fc11cc5cbc518b39faa60cf5d67c,MS,campo grande,1037.6,5,3
2dee2ce60de9709b1a24083217181a1f,MT,sinop,7784.5,55,1
abcd2cb37d46c2c8fb1bf071c859fc5b,MT,cuiaba,4817.32,51,2
99002261c568a84cce14d43fcffb43ea,MT,cuiaba,4088.0,36,3
67225bff54a172ff67579aaf583efd78,PA,marechal candido rondon,1238.0,8,1
a6bd7d1ccdac48c6b33b28596b7eb122,PB,mamanguape,13669.11,15,1
07017df32dc5f2f1d2801e579548d620,PB,joao pessoa,946.49,9,2
fd435faa3c0422b60440ea3480d0e77c,PB,joao pessoa,749.0,1,3
de722cd6dad950a92b7d4f82673f8833,PE,recife,55126.3,377,1
40db9e9aa57f7bb151bcda6b0f9bdbb7,PE,recife,23168.0,12,2
1d0997ff06b524ce9289ffd75114ecd3,PE,recife,3747.0,3,3
47efca563408aae19bb7206c2d969ea9,PI,teresina,2383.0,11,1
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,curitiba,72926.72,189,1
522620dcb18a6b31cd7bdf73665113a9,PR,cascavel,56690.49,178,2
77530e9772f57a62c906e1c21538ab82,PR,curitiba,45676.6,381,3
46dc3b2cc0980fb8ec44634e21d2718e,RJ,rio de janeiro,122811.38,523,1
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,petropolis,112461.5,778,2
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,teresopolis,79144.9,174,3
02d35243ea2e497335cd0f076b45675d,RN,natal,5794.0,16,1
52562a9f449c3dc3d53f5f5b9ed74903,RN,parnamirim,3266.6,14,2
41c2bad7229b0c25e6becf179ebf63ff,RN,natal,782.0,23,3
3364a91ec4d56c98e44174de954b94f6,RO,porto velho,3579.94,6,1
a5259c149128e82c9d6d46e0c1c812bb,RO,ji parana,1182.26,8,2
87142160b41353c4e5fca2360caf6f92,RS,porto alegre,31095.98,339,1
b32be1695eb7ec5f10f72d9610a12527,RS,caxias do sul,26575.0,45,2
12b9676b00f60f3b700e83af21824c0e,RS,montenegro,26376.0,133,3
04308b1ee57b6625f47df1d56f00eedf,SC,bombinhas,58991.8,92,1
eeb6de78f79159600292e314a77cbd18,SC,lages,43510.84,83,2
712e6ed8aa4aa1fa65dab41fed5737e4,SC,videira,39385.0,85,3
4b39558c138930b9e5489c93b6df5fe3,SE,aracaju,1096.7,5,1
c53bcd3be457a342a97e39e5a9f0be22,SE,neopolis,509.5,5,2
4869f7a5dfa277a7dca6462dcf3b52b2,SP,guariba,226987.93,1148,1
4a3ca9315b744ce9f8e9374361493884,SP,ibitinga,196882.12,1949,2
fa1c13f2614d7b5c4749cbc52fecda94,SP,sumare,190917.14,579,3
